model,year_num,count
claude-sonnet-4-6,2012.0,1
claude-sonnet-4-6,2013.0,1
claude-sonnet-4-6,2014.0,5
claude-sonnet-4-6,2015.0,2
claude-sonnet-4-6,2016.0,4
claude-sonnet-4-6,2017.0,2
claude-sonnet-4-6,2019.0,1
claude-sonnet-4-6,2020.0,1
claude-sonnet-4-6,2021.0,1
claude-sonnet-4-6,2022.0,1
claude-sonnet-4-6,2023.0,3
claude-sonnet-4-6,2024.0,2
gemini-3.1-pro-preview,2009.0,1
gemini-3.1-pro-preview,2013.0,1
gemini-3.1-pro-preview,2014.0,3
gemini-3.1-pro-preview,2015.0,1
gemini-3.1-pro-preview,2016.0,4
gemini-3.1-pro-preview,2017.0,2
gemini-3.1-pro-preview,2018.0,2
gemini-3.1-pro-preview,2019.0,2
gemini-3.1-pro-preview,2020.0,2
gemini-3.1-pro-preview,2021.0,1
gemini-3.1-pro-preview,2022.0,1
gpt-5.4,2010.0,1
gpt-5.4,2012.0,1
gpt-5.4,2013.0,1
gpt-5.4,2014.0,3
gpt-5.4,2015.0,4
gpt-5.4,2016.0,3
gpt-5.4,2017.0,3
gpt-5.4,2018.0,1
gpt-5.4,2019.0,1
gpt-5.4,2022.0,1
gpt-5.4,2023.0,1
qwen2.5:3b,2015.0,1
qwen2.5:3b,2016.0,2
qwen2.5:3b,2017.0,1
qwen2.5:3b,2018.0,6
qwen2.5:3b,2019.0,9
