model,prompt_id,run_id,niche,variant,n_listed,n_matched,match_rate,sum_abs_deviation,mean_abs_deviation,spearman_vs_baseline,kendall_vs_baseline,top5_overlap_vs_baseline
claude-sonnet-4-6,SE_RANK_US,run01,se,A,15,14,0.9333333333333333,223.0,15.928571428571429,-0.04666954759185796,-0.034110736433166144,0.4
claude-sonnet-4-6,SE_RANK_US_B,run01,se,B,15,14,0.9333333333333333,215.0,15.357142857142858,0.10667325163853246,0.07959171834405435,0.4
claude-sonnet-4-6,SE_RANK_US_C,run01,se,C,15,14,0.9333333333333333,222.0,15.857142857142858,-0.03778010995531358,0.011370245477722049,0.4
claude-sonnet-4-6,VIS_RANK_US,run01,vision,A,15,14,0.9333333333333333,122.0,8.714285714285714,0.2703296703296703,0.18681318681318684,0.6
claude-sonnet-4-6,VIS_RANK_US_B,run01,vision,B,15,15,1.0,120.0,8.0,0.48571428571428565,0.37142857142857144,0.8
claude-sonnet-4-6,VIS_RANK_US_C,run01,vision,C,15,15,1.0,123.0,8.2,0.4107142857142856,0.2571428571428572,0.8
gemini-3.1-pro-preview,SE_RANK_US,run01,se,A,15,14,0.9333333333333333,197.0,14.071428571428571,0.08609355431753833,0.06704852344015112,0.4
gemini-3.1-pro-preview,SE_RANK_US_B,run01,se,B,15,13,0.8666666666666667,186.0,14.307692307692308,0.03867462340768808,-0.013074409009212267,0.4
gemini-3.1-pro-preview,SE_RANK_US_C,run01,se,C,15,13,0.8666666666666667,185.0,14.23076923076923,0.07734924681537617,0.11766968108291039,0.4
gemini-3.1-pro-preview,VIS_RANK_US,run01,vision,A,15,15,1.0,92.0,6.133333333333334,0.7107142857142856,0.48571428571428577,0.8
gemini-3.1-pro-preview,VIS_RANK_US_B,run01,vision,B,15,15,1.0,93.0,6.2,0.7749999999999999,0.561904761904762,0.8
gemini-3.1-pro-preview,VIS_RANK_US_C,run01,vision,C,15,15,1.0,98.0,6.533333333333333,0.5821428571428571,0.40952380952380957,0.8
gpt-5.4,SE_RANK_US,run01,se,A,15,13,0.8666666666666667,207.0,15.923076923076923,0.1365034906338913,0.10675210253672475,0.4
gpt-5.4,SE_RANK_US_B,run01,se,B,15,13,0.8666666666666667,216.0,16.615384615384617,-0.06685885255537535,-0.026688025634181187,0.4
gpt-5.4,SE_RANK_US_C,run01,se,C,15,13,0.8666666666666667,212.0,16.307692307692307,-0.0640730670322347,-0.026688025634181187,0.4
gpt-5.4,VIS_RANK_US,run01,vision,A,15,14,0.9333333333333333,110.0,7.857142857142857,0.5208791208791209,0.3186813186813187,0.8
gpt-5.4,VIS_RANK_US_B,run01,vision,B,15,15,1.0,109.0,7.266666666666667,0.5678571428571427,0.3904761904761905,0.8
gpt-5.4,VIS_RANK_US_C,run01,vision,C,15,14,0.9333333333333333,107.0,7.642857142857143,0.5164835164835165,0.3406593406593407,0.6
qwen2.5:3b,SE_RANK_US,run01,se,A,15,12,0.8,200.5,16.708333333333332,0.3096575654563111,0.22247460415730486,0.6
qwen2.5:3b,SE_RANK_US_B,run01,se,B,15,13,0.8666666666666667,226.5,17.423076923076923,0.412594032835559,0.3020792700095993,0.6
qwen2.5:3b,SE_RANK_US_C,run01,se,C,15,11,0.7333333333333333,180.5,16.40909090909091,0.11927107455535574,0.07479575920067658,0.6
qwen2.5:3b,VIS_RANK_US,run01,vision,A,15,15,1.0,213.0,14.2,0.7363720545409901,0.5167523265868932,0.8
qwen2.5:3b,VIS_RANK_US_B,run01,vision,B,15,14,0.9333333333333333,136.5,9.75,0.3934065934065934,0.23076923076923078,0.6
qwen2.5:3b,VIS_RANK_US_C,run01,vision,C,15,15,1.0,178.5,11.9,0.5071428571428571,0.3523809523809524,0.6
