model,prompt_id,category,source_type,count
google/gemma-4-31b-it:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,unknown,2
google/gemma-4-31b-it:free,P04_EXACT_SOURCES,exact_source_disclosure,arxiv,3
google/gemma-4-31b-it:free,P04_EXACT_SOURCES,exact_source_disclosure,github_repository,1
google/gemma-4-31b-it:free,P05_RECENT_WORK,recent_work,arxiv,2
google/gemma-4-31b-it:free,P05_RECENT_WORK,recent_work,unknown,2
google/gemma-4-31b-it:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,arxiv,1
google/gemma-4-31b-it:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,github_repository,1
google/gemma-4-31b-it:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,unknown,1
nvidia/nemotron-3-ultra-550b-a55b:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,conference_page,2
nvidia/nemotron-3-ultra-550b-a55b:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,unknown,3
nvidia/nemotron-3-ultra-550b-a55b:free,P04_EXACT_SOURCES,exact_source_disclosure,academic_paper,1
nvidia/nemotron-3-ultra-550b-a55b:free,P04_EXACT_SOURCES,exact_source_disclosure,arxiv,24
nvidia/nemotron-3-ultra-550b-a55b:free,P04_EXACT_SOURCES,exact_source_disclosure,conference_page,1
nvidia/nemotron-3-ultra-550b-a55b:free,P04_EXACT_SOURCES,exact_source_disclosure,github_repository,2
nvidia/nemotron-3-ultra-550b-a55b:free,P04_EXACT_SOURCES,exact_source_disclosure,unknown,1
nvidia/nemotron-3-ultra-550b-a55b:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,arxiv,6
nvidia/nemotron-3-ultra-550b-a55b:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,company_blog,1
nvidia/nemotron-3-ultra-550b-a55b:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,github_repository,1
nvidia/nemotron-3-ultra-550b-a55b:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,personal_blog,1
nvidia/nemotron-3-ultra-550b-a55b:free,P07_PRACTITIONER_GUIDANCE,practitioner_guidance,unknown,4
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,academic_paper,1
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,arxiv,11
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,conference_page,1
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,github_repository,1
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,personal_blog,1
nvidia/nemotron-3-ultra-550b-a55b:free,P10_SOURCE_VALIDATION_AUDIT,exact_source_disclosure,unknown,1
openai/gpt-oss-120b:free,P01_CONFERENCE_RANKING,conference_ranking,conference_page,2
openai/gpt-oss-120b:free,P01_CONFERENCE_RANKING,conference_ranking,unknown,3
openai/gpt-oss-120b:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,academic_paper,2
openai/gpt-oss-120b:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,arxiv,1
openai/gpt-oss-120b:free,P02_CONFERENCE_RANKING_SOURCED,conference_ranking,unknown,2
